score,timeframe,best_architecture,val_accuracy,val_log_loss,val_f1
quality,profit_1m,"(256,)",0.5317473670042734,,
quality,profit_3m,"(256,)",0.5476294626333322,,
quality,profit_6m,"(256, 256)",0.5594400888320603,,
quality,profit_1y,"(256,)",0.5708132844308355,,
quality,profit_2y,"(512, 256)",0.6182913287795686,,
quality,profit_5y,"(256, 128)",0.5928530569669235,,
growth,profit_1m,"(64, 32, 16, 8)",0.5416736767724352,,
growth,profit_3m,"(32,)",0.5420101618493219,,
growth,profit_6m,"(512, 256, 128)",0.5646219590161177,,
growth,profit_1y,"(16,)",0.5811770247989502,,
growth,profit_2y,"(512,)",0.5530468723712103,,
growth,profit_5y,"(64, 32, 16, 8)",0.6282512870554191,,
value,profit_1m,"(32,)",0.6105521720111713,,
value,profit_3m,"(32,)",0.5455769036643224,,
value,profit_6m,"(128, 32)",0.5428177260338504,,
value,profit_1y,"(128, 64, 32, 16)",0.5533833574480972,,
value,profit_2y,"(32,)",0.5614253507856927,,
value,profit_5y,"(64, 32, 16, 8)",0.5631077761701269,,
dividend,profit_1m,"(64, 32, 16)",0.5381405834651233,,
dividend,profit_3m,"(256, 64, 16)",0.5449712305259262,,
dividend,profit_6m,"(64, 32, 16, 8)",0.5268346848817255,,
dividend,profit_1y,"(32,)",0.5435916417106901,,
dividend,profit_2y,"(16,)",0.5576567179245601,,
dividend,profit_5y,"(512,)",0.532319391634981,,
