score,timeframe,best_architecture,val_r2_score,val_rmse,val_mae
quality,profit_1m,"(128, 32, 8)",-0.0026295547874390923,0.08128931916497757,0.05759487253093187
quality,profit_3m,"(128, 32, 8)",-0.009444262014260518,0.13530840609723213,0.1007515654218987
quality,profit_6m,"(32, 32)",-0.09069330994337288,0.20331350285702707,0.15310135110035375
quality,profit_1y,"(16,)",-0.1401158359643393,0.29621556314662056,0.22404938744218844
quality,profit_2y,"(16,)",-0.13064305244019692,0.4306091139028992,0.3177983434774037
quality,profit_5y,"(16,)",-0.3063852294257281,0.908923975076723,0.6442234086822841
growth,profit_1m,"(128, 32, 8)",-0.020939232772674954,0.08202820000017097,0.057986977558470716
growth,profit_3m,"(128, 64, 8)",-0.04424754752086457,0.1376211993385277,0.10232482820489237
growth,profit_6m,"(32,)",-0.06698240983463699,0.20109141405923045,0.15242564848978554
growth,profit_1y,"(16,)",-0.029015017415039868,0.2814130544668499,0.2121161879062958
growth,profit_2y,"(512,)",-0.12225078819971125,0.4290080266510784,0.3282601695705039
growth,profit_5y,"(64,)",-0.16006913164058445,0.8565128122932161,0.5985672363134158
value,profit_1m,"(1024, 512, 256, 128)",0.12172968755910829,0.07608119693251571,0.0537308613275038
value,profit_3m,"(512, 256, 128)",0.10534199710435677,0.1273831933329928,0.09360251828219944
value,profit_6m,"(512,)",0.11414002215797292,0.18323036164243472,0.13710308577216998
value,profit_1y,"(16,)",0.04947458408231231,0.27046760200480185,0.19915467269326326
value,profit_2y,"(32,)",0.01748868453958674,0.40141097156612765,0.2978088053686808
value,profit_5y,"(64, 32, 16)",-0.176035876490356,0.862387025044131,0.6313702422320276
dividend,profit_1m,"(128, 32, 8)",-0.005378063893112239,0.08140066214503243,0.057772412755390495
dividend,profit_3m,"(128, 32, 8)",-0.004257217001904401,0.13496031618222867,0.1000616630765005
dividend,profit_6m,"(64, 32, 16, 8)",-0.028909960949642155,0.19747111756420777,0.15054039119103466
dividend,profit_1y,"(256,)",-0.045517075288248554,0.2836605552301507,0.21350371681340793
dividend,profit_2y,"(512,)",-0.08058809262674371,0.4209694181027487,0.3080725677193118
dividend,profit_5y,"(32,)",-0.15762071736302175,0.8556084670986392,0.6312883931531211
